date,time,channel,text,media_url,status,product,image_prompt
2026-06-15,09:00,Instagram - Eso Es,"Eso Es. Made different. 🖤

#EsoEs #MadeInAustralia #CoffeeCulture #Brand",,Image Needed,Brand,"Bold Eso Es wordmark centred on dark background. Minimal. Brand colours only. No clutter."
2026-06-15,09:00,Facebook - Eso Es,"Eso Es. Made different. 🖤

#EsoEs #MadeInAustralia #CoffeeCulture #Brand",,Image Needed,Brand,"Bold Eso Es wordmark centred on dark background. Minimal. Brand colours only. No clutter."
2026-06-16,09:00,Instagram - Eso Es,"Gotcha is the shot you didn't see coming. Every time. ☕

#Gotcha #EsoEs #CoffeeShot #Espresso",,Image Needed,Gotcha,"Product flat lay: Gotcha pack on concrete, natural morning light, overhead angle. Bold shadow."
2026-06-16,09:00,Facebook - Eso Es,"Gotcha is the shot you didn't see coming. Every time. ☕

#Gotcha #EsoEs #CoffeeShot #Espresso",,Image Needed,Gotcha,"Product flat lay: Gotcha pack on concrete, natural morning light, overhead angle. Bold shadow."
2026-06-17,09:00,Instagram - Eso Es,"WSUP. Your morning handled. 💪

#WSUP #EsoEs #MorningRoutine #CoffeeCulture",,Image Needed,WSUP,"WSUP product in hand, active lifestyle setting. Clean white background. Morning energy."
2026-06-17,09:00,Facebook - Eso Es,"WSUP. Your morning handled. 💪

#WSUP #EsoEs #MorningRoutine #CoffeeCulture",,Image Needed,WSUP,"WSUP product in hand, active lifestyle setting. Clean white background. Morning energy."
2026-06-18,09:00,Instagram - Eso Es,"Ripple. The wave you've been waiting for. 🌊

#Ripple #EsoEs #CoffeeWave #MorningVibes",,Image Needed,Ripple,"Ripple product hero shot. Soft water texture background. Brand palette. Clean and bold."
2026-06-18,09:00,Facebook - Eso Es,"Ripple. The wave you've been waiting for. 🌊

#Ripple #EsoEs #CoffeeWave #MorningVibes",,Image Needed,Ripple,"Ripple product hero shot. Soft water texture background. Brand palette. Clean and bold."
2026-06-19,09:00,Instagram - Eso Es,"Local flavour. Global attitude. This is Eso Es. 🇦🇺

#EsoEs #MadeLocal #AustraliaCoffee #Founder",,Image Needed,Brand,"Warm lifestyle shot. Local café context or founder presence. Authentic, not polished."
2026-06-19,09:00,Facebook - Eso Es,"Local flavour. Global attitude. This is Eso Es. 🇦🇺

#EsoEs #MadeLocal #AustraliaCoffee #Founder",,Image Needed,Brand,"Warm lifestyle shot. Local café context or founder presence. Authentic, not polished."
