date,time,platform,product,caption,hashtags,image_prompt,canva_template,status,scheduled_url,posted_url
2026-06-15,09:00,Instagram,Brand,"Eso Es. Made different. 🖤","#EsoEs #MadeInAustralia #CoffeeCulture #Brand","Bold Eso Es wordmark centred on dark background. Minimal. Brand colours only.","eso-es-brand-square-v1",Approved,,
2026-06-15,09:00,Facebook,Brand,"Eso Es. Made different. 🖤","#EsoEs #MadeInAustralia #CoffeeCulture #Brand","Bold Eso Es wordmark centred on dark background. Minimal. Brand colours only.","eso-es-brand-landscape-v1",Approved,,
2026-06-16,09:00,Instagram,Gotcha,"Gotcha is the shot you didn't see coming. Every time. ☕","#Gotcha #EsoEs #CoffeeShot #Espresso","Product flat lay: Gotcha can/pack on concrete surface, natural morning light, overhead angle.","eso-es-product-square-v1",Approved,,
2026-06-16,09:00,Facebook,Gotcha,"Gotcha is the shot you didn't see coming. Every time. ☕","#Gotcha #EsoEs #CoffeeShot #Espresso","Product flat lay: Gotcha can/pack on concrete surface, natural morning light, overhead angle.","eso-es-product-landscape-v1",Approved,,
2026-06-17,09:00,Instagram,WSUP,"WSUP. Your morning handled. 💪","#WSUP #EsoEs #MorningRoutine #CoffeeCulture","WSUP product in hand, active lifestyle setting. Clean background. Natural light.","eso-es-product-square-v1",Approved,,
2026-06-17,09:00,Facebook,WSUP,"WSUP. Your morning handled. 💪","#WSUP #EsoEs #MorningRoutine #CoffeeCulture","WSUP product in hand, active lifestyle setting. Clean background. Natural light.","eso-es-product-landscape-v1",Approved,,
2026-06-18,09:00,Instagram,Ripple,"Ripple. The wave you've been waiting for. 🌊","#Ripple #EsoEs #CoffeeWave #MorningVibes","Ripple product hero shot. Water/wave texture in background. Brand colours.","eso-es-product-square-v1",Approved,,
2026-06-18,09:00,Facebook,Ripple,"Ripple. The wave you've been waiting for. 🌊","#Ripple #EsoEs #CoffeeWave #MorningVibes","Ripple product hero shot. Water/wave texture in background. Brand colours.","eso-es-product-landscape-v1",Approved,,
2026-06-19,09:00,Instagram,Brand,"Local flavour. Global attitude. This is Eso Es. 🇦🇺","#EsoEs #MadeLocal #AustraliaCoffee #Founder","Founder lifestyle shot or local café context. Warm tones. Authentic feel.","eso-es-founder-square-v1",Approved,,
2026-06-19,09:00,Facebook,Brand,"Local flavour. Global attitude. This is Eso Es. 🇦🇺","#EsoEs #MadeLocal #AustraliaCoffee #Founder","Founder lifestyle shot or local café context. Warm tones. Authentic feel.","eso-es-founder-landscape-v1",Approved,,
2026-06-22,09:00,Instagram,Brand,"New week. New energy. Eso Es. 🖤","#EsoEs #NewWeek #CoffeeMotivation #MondayMood","Dark minimal graphic. Week ahead energy. Eso Es logo lockup bottom right.","eso-es-brand-square-v1",Graphic Needed,,
2026-06-22,09:00,Facebook,Brand,"New week. New energy. Eso Es. 🖤","#EsoEs #NewWeek #CoffeeMotivation #MondayMood","Dark minimal graphic. Week ahead energy. Eso Es logo lockup bottom right.","eso-es-brand-landscape-v1",Graphic Needed,,
2026-06-23,09:00,Instagram,Gotcha,"You didn't see Gotcha coming. Neither did they. ☕","#Gotcha #EsoEs #Espresso #CoffeeLovers","Close-up product shot. Bold text overlay: GOTCHA. Dark background.","eso-es-product-square-v1",Graphic Needed,,
2026-06-23,09:00,Facebook,Gotcha,"You didn't see Gotcha coming. Neither did they. ☕","#Gotcha #EsoEs #Espresso #CoffeeLovers","Close-up product shot. Bold text overlay: GOTCHA. Dark background.","eso-es-product-landscape-v1",Graphic Needed,,
2026-06-24,09:00,Instagram,WSUP,"Wednesday check in: WSUP? ✌️","#WSUP #EsoEs #Midweek #WednesdayVibes","WSUP product flat lay. Casual midweek energy. Bright natural light.","eso-es-product-square-v1",Graphic Needed,,
2026-06-24,09:00,Facebook,WSUP,"Wednesday check in: WSUP? ✌️","#WSUP #EsoEs #Midweek #WednesdayVibes","WSUP product flat lay. Casual midweek energy. Bright natural light.","eso-es-product-landscape-v1",Graphic Needed,,
2026-06-25,09:00,Instagram,Frother,"Froth it. Mean it. Eso Es. 🥛","#Frother #EsoEs #MilkFrother #HomeCafé","Frother product in action. Milk froth close-up. Warm kitchen lighting.","eso-es-product-square-v1",Graphic Needed,,
2026-06-25,09:00,Facebook,Frother,"Froth it. Mean it. Eso Es. 🥛","#Frother #EsoEs #MilkFrother #HomeCafé","Frother product in action. Milk froth close-up. Warm kitchen lighting.","eso-es-product-landscape-v1",Graphic Needed,,
2026-06-26,09:00,Instagram,Brand,"End of week, start of something good. Eso Es. 🖤","#EsoEs #FridayFeeling #WeekendCoffee #Local","Local lifestyle shot. End of week energy. Community feel. Brand colours.","eso-es-founder-square-v1",Graphic Needed,,
2026-06-26,09:00,Facebook,Brand,"End of week, start of something good. Eso Es. 🖤","#EsoEs #FridayFeeling #WeekendCoffee #Local","Local lifestyle shot. End of week energy. Community feel. Brand colours.","eso-es-founder-landscape-v1",Graphic Needed,,
