post_id,product,title,canva_prompt
1,Brand,"Eso Es. Made different. 🖤","Bold Eso Es wordmark centred on dark background. Minimal. Brand colours only. No clutter."
2,Gotcha,"Gotcha is the shot you didn't see coming. Every time. ☕","Product flat lay: Gotcha pack on concrete, natural morning light, overhead angle. Bold shadow."
3,WSUP,"WSUP. Your morning handled. 💪","WSUP product in hand, active lifestyle setting. Clean white background. Morning energy."
4,Ripple,"Ripple. The wave you've been waiting for. 🌊","Ripple product hero shot. Soft water texture background. Brand palette. Clean and bold."
5,Brand,"Local flavour. Global attitude. This is Eso Es. 🇦🇺","Warm lifestyle shot. Local café context or founder presence. Authentic, not polished."
6,Brand,"Something new is coming. Stay close. 👀","Dark teaser graphic. Blurred product silhouette. Question mark or shadow. High intrigue."
7,Gotcha,"One sip. That's all it takes. Gotcha. ☕","Close-up espresso pour or sip moment. Steam rising. Gotcha text overlay. Dark dramatic light."
8,WSUP,"Wednesday check in: WSUP? ✌️","WSUP flat lay. Casual midweek energy. Warm natural light. Relaxed but intentional."
9,Frother,"Froth it. Mean it. 🥛","Frother in action. Milk foam close-up. Warm kitchen light. Rich texture visible."
10,Brand,"End of week, start of something good. Eso Es. 🖤","End-of-week energy. Group or street scene with product. Warm golden hour tones."
11,Brand,"Not your average coffee brand. 🖤","Side-by-side: ordinary coffee vs Eso Es. Bold contrast. Clean layout. Statement energy."
12,Gotcha,"The element of surprise, bottled. Gotcha by Eso Es. ☕","Gotcha product popping out of a bag or box. Surprise reveal angle. Playful energy."
13,WSUP,"Your mornings just got sorted. WSUP by Eso Es.","Morning routine flat lay. WSUP product as hero item. Coffee, phone, keys. Clean tabletop."
14,Ripple,"Ripple — every morning a little different. 🌊","Ripple product with water droplet or ripple effect overlay. Clean and graphic. Brand colours."
15,Brand,"Behind every Eso Es product is a story. Come find ours. 🖤","Founder working or behind the scenes. Raw, authentic. Not polished. Real environment."
16,Brand,"Built different. By design. 🖤","Abstract Eso Es logo treatment. Bold geometry. Dark background. Statement typography."
17,Gotcha,"You weren't ready. Gotcha. ☕","Reaction shot concept — surprised face or dropped jaw. Gotcha logo large. Fun energy."
18,WSUP,"Early starter or slow mornings — WSUP has you. 💪","Split image — early gym vs slow Sunday bed. WSUP logo centred. Both moods served."
19,Frother,"Café-quality froth at home. No excuses. 🥛","Latte art or frothed milk in a home mug. Frother product beside it. Aspirational but real."
20,Brand,"Made here. Meant for everywhere. Eso Es. 🇦🇺","Map graphic or Australian reference. Eso Es product over it. Pride and scale energy."
21,Brand,"Eso Es. The name says it all. 🖤","Typography-led post. Eso Es in large bold type. Translated meaning as subtext. Minimal."
22,Gotcha,"Bold. Unexpected. Gotcha. ☕","Bold graphic — Gotcha text at maximum scale. Minimal product. Maximum confidence."
23,WSUP,"WSUP: Because mornings should work for you.","Product beside a morning planner or to-do list. Organised energy. Clean light."
24,Ripple,"Ripple — the coffee that keeps moving. 🌊","Dynamic ripple product shot. Motion blur or layered effect. Energy and movement."
25,Brand,"Friday feeling powered by Eso Es. 🙌","Celebration moment. Product in hand, high energy. Friday light. Authentic smile."
26,Brand,"Leak: something big is brewing at Eso Es. 👀","Dark teaser. Partial product reveal. Heavy shadow. Curiosity and anticipation."
27,Gotcha,"Gotcha again. ☕ #noregrets","Second empty cup or repeat purchase visual. Humour. No regrets energy. Light tone."
28,WSUP,"The last Wednesday excuse. WSUP sorted your mornings. 💪","Before/after concept. Tired morning vs powered morning. WSUP as the turning point."
29,Frother,"Upgrade your ritual. Eso Es Frother. 🥛","Ritual flat lay. Frother, quality milk, good mug. Morning ceremony feel. Quiet luxury."
30,Brand,"This started local. It won't stay that way. Eso Es. 🖤","Map or expansion graphic. Local pins radiating outward. Bold brand statement overlay."
