post_num,date,time,day_slot,platform,product,category,title,caption,hashtags,image_prompt,canva_template,status,scheduled_url,posted_url
7,2026-06-16,09:00 AEST,Mon — Brand Leak,"Instagram, Facebook, LinkedIn",Brand,Brand Voice,Anti-Agency Post,"Not every business needs an agency.

Some just need the leak plugged.

Your Google listing is weak.
Your missed calls are costing jobs.
Your staff procedures are in your head.
Your follow-up is random.
Your loyalty system is paper and hope.

That's not a $2,000/month agency problem.

That's a practical systems problem.

That's Eso Es.

DM ""LEAK"" and I'll tell you the first thing I'd fix.",#esoes #smallbusiness #localbusiness #australianbusiness #noagency #leakplugged #practicalops,"Social graphic. Headline: ""NOT AN AGENCY. A LEAK PLUGGER."" Bold comic book style, cream/black/yellow. Icons for phone, Google pin, review stars, checklist, loyalty stamp. Cross-out over ""agency"" word. Anti-corporate, direct, confident.",ESO-ES-BRAND-01,Approved,,
4,2026-06-17,09:00 AEST,Tue — Gotcha,"Instagram, Facebook",Gotcha,Pain Point,Gotcha Missed-Call Post,"Missed calls are not harmless.

They are warm leads walking out the back door.

A customer calls.
You're busy.
You miss it.
They call the next business on Google.

Gotcha fixes that.

Instant missed-call text-back.
Booking link.
Callback message.
Customer captured before they go cold.

DM ""GOTCHA"" if missed calls are costing you money.",#gotcha #esoes #missedcalls #leadrecovery #smallbusiness #localbusiness #tradie #callrecovery #textback,"Gotcha social graphic. Red alert style, cream background, thick black borders. Show phone notification with missed call, then instant SMS reply panel. Main text: ""MISSED CALL? GOTCHA."" Lead saved message. Urgent, action-oriented, bold red accent.",ESO-ES-GOTCHA-01,Approved,,
3,2026-06-18,09:00 AEST,Wed — WSUP,"Instagram, Facebook",WSUP,Product Feature,WSUP Cash Post,"If your team keeps asking you the same question every week, you don't have a staff problem.

You have a systems problem.

WSUP turns the way your business runs into:

SOPs
Checklists
Staff guides
Opening and closing procedures
Customer scripts
Workflow maps
Action priorities

So the business stops relying on your memory and panic.

First offer: WSUP Starter SOP Pack from $497.

DM ""WSUP"" if your business is stuck in your head.",#wsup #esoes #SOPs #operations #systemise #smallbusiness #stafftraining #procedures #businesssystems,"WSUP social graphic. Purple accent, cream background, black heavy type, yellow CTA button. Main text: ""STOP BEING THE INSTRUCTION MANUAL."" Subtext list: ""SOPs. Checklists. Staff guides. Workflow maps."" Operations-board aesthetic with grid/clipboard motifs.",ESO-ES-WSUP-01,Approved,,
5,2026-06-19,09:00 AEST,Thu — Ripple/Frother,"Instagram, Facebook",Ripple,Product Feature,Ripple Post,"Being good at what you do is not enough if people can't find you.

Ripple helps local businesses clean up the boring visibility stuff:

Google presence
Reviews
Promos
Follow-up
Local lead flow

Not agency fluff.
Not a 40-page strategy deck.
Just the stuff that helps people find you, trust you, and contact you.

DM ""RIPPLE"" if your Google presence needs a kick up the backside.",#ripple #esoes #googlemybusiness #localSEO #reviews #getfound #smallbusiness #localbusiness #visibilitytips,"Ripple social graphic. Cyan accent, cream background, bold black type. Main text: ""GET FOUND. GET CALLED."" Google search card visual, review stars, location pin. Subtext: ""Google visibility. Reviews. Promos. Follow-up."" Local map aesthetic.",ESO-ES-RIPPLE-01,Approved,,
8,2026-06-20,09:00 AEST,Fri — Founder/Local,"Instagram, Facebook, LinkedIn",Brand,Founder Post,Your Experience Angle,"I didn't build Eso Es from a marketing textbook.

I built it from years inside real operations.

Coffee roasting.
Production.
Hospitality.
Food safety.
HACCP.
OHS.
Staff training.
Quality control.
Daily business chaos.

I know what happens when systems are missing:

People guess.
Owners repeat themselves.
Customers get inconsistent service.
Good businesses bleed time and money quietly.

Eso Es exists to plug those leaks.

DM ""OPS"" if your business needs cleaning up.",#esoes #founderpost #smallbusiness #localbusiness #australianbusiness #operations #realexperience,"Founder-experience graphic. Gritty operations board aesthetic. Main text: ""BUILT FROM REAL OPERATIONS."" Subtext: ""Production. Hospitality. Staff training. Daily business chaos."" Worn paper texture, clipboard motif, industrial feel. Cream/black/yellow.",ESO-ES-BRAND-01,Approved,,
2,2026-06-23,09:00 AEST,Mon — Brand Leak,"Instagram, Facebook",Brand,Pain Point,The Leak Angle,"Your business might not need more marketing.

It might need fewer leaks.

If people can't find you, that's a leak.
If you miss calls, that's a leak.
If nobody follows up, that's a leak.
If staff keep asking the same question, that's a leak.
If everything lives in your head, that's a massive leak.

Eso Es helps small businesses plug the boring leaks that quietly cost money.

DM ""LEAK"" and I'll point out the first one to fix.",#esoes #smallbusiness #localbusiness #australianbusiness #leakplugged #businesssystems #noagency,"Bold checklist-style social post. Cream/black/yellow/red/cyan, terminal dashboard feel. Headline: ""YOUR BUSINESS IS LEAKING."" Checklist items with checkboxes: ""Missed calls. Weak Google. No follow-up. No SOPs. No loyalty."" Each item has a red X. CTA: ""DM LEAK"".",ESO-ES-BRAND-01,Approved,,
15,2026-06-24,09:00 AEST,Tue — Gotcha,"Instagram, Facebook",Gotcha,Offer,Gotcha Offer,"New offer:

Gotcha Missed Call Recovery.

For businesses that miss calls while working, serving, driving, cleaning, quoting, cooking, cutting hair, or generally trying to survive the day.

When you miss a call, the customer gets an instant useful text.

Not later.
Not when you remember.
Instantly.

DM ""GOTCHA"" if missed calls are leaking money.",#gotcha #esoes #missedcalls #leadrecovery #smallbusiness #localbusiness #offer #textback #callrecovery,"Offer card. Headline: ""GOTCHA MISSED CALL RECOVERY."" Red alert style. Show phone screen: missed call notification → instant SMS reply flying out. Subtext: ""Catch the customer before they call someone else."" Urgent, action, red/cream/black.",ESO-ES-GOTCHA-01,Approved,,
9,2026-06-25,09:00 AEST,Wed — WSUP,"Instagram, Facebook",WSUP,Pain Point,Owner Brain Post,"If your business can't run unless you explain everything, you don't own a business.

You own a job with witnesses.

Opening procedure? In your head.
Staff onboarding? In your head.
Complaint handling? In your head.
Follow-up process? In your head.
Weekly priorities? Also in your head.

WSUP gets it out of your head and into a system your team can use.

DM ""WSUP"" if you're tired of being the instruction manual.",#wsup #esoes #SOPs #operations #systemise #smallbusiness #stafftraining #businesssystems #ownerlife,"WSUP terminal graphic. Dark background, purple glow. Main text: ""GET YOUR BUSINESS OUT OF YOUR HEAD."" Brain-to-dashboard visual: messy thought bubbles on left, clean structured checklist on right. Purple accent, terminal/dashboard aesthetic.",ESO-ES-WSUP-01,Approved,,
6,2026-06-26,09:00 AEST,Thu — Ripple/Frother,"Instagram, Facebook",Frother,Product Feature,Frother Post,"New customers are expensive.

Regulars are gold.

Frother is a digital loyalty and promo system for cafes, pubs, restaurants, takeaways, and local venues.

Tap in.
Stack stamps.
Froth on.

No paper cards.
No app download.
No corporate loyalty nonsense.

DM ""FROTHER"" if you want regulars coming back more often.",#frother #esoes #loyalty #cafes #hospitality #localvenue #regulars #digitalstamps #repeatcustomers,"Frother social graphic. Green accent, warm cream background, bold black typography. Show digital stamp card (8 stamps, tap-to-fill). Coffee/venue vibe. Main text: ""TAP IN. STACK STAMPS. FROTH ON."" Warm, local, community feel. No corporate look.",ESO-ES-FROTHER-01,Approved,,
25,2026-06-27,09:00 AEST,Fri — Founder/Local,"Instagram, Facebook, LinkedIn",Brand,Founder Post,Founder Voice,"I'm not trying to build another AI agency.

There are enough of those.

I'm building practical systems for small businesses that are already working hard but leaking money through messy operations.

That means:

Missed calls.
Weak visibility.
Poor follow-up.
No loyalty system.
No SOPs.
Too much living in the owner's head.

Eso Es is the leak plugger.

DM ""LEAK"" if you want me to look at your business.",#esoes #founderpost #smallbusiness #localbusiness #australianbusiness #noaiagency #practicalops #leakplugged,"Founder-style graphic. Bold, plain, anti-corporate. Big crossed-out text: ""AI AGENCY"" → replaced with ""LEAK PLUGGER"". Cream background, heavy black typography. Subtext: ""Practical systems for local business."" Direct, honest, confident.",ESO-ES-BRAND-01,Approved,,
